period_month,province_name,inflation_mtm,inflation_yoy,cpi,source
2026-02-01,Sulawesi Barat,0.25,5.15,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Sulawesi Selatan,0.77,6.13,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Sulawesi Tengah,0.94,5.33,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Sulawesi Tenggara,0.79,5.41,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Sulawesi Utara,1.21,4.64,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Sumatera Barat,0.38,4.39,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Sumatera Selatan,0.56,4.36,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-02-01,Sumatera Utara,0.17,4.71,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Aceh,0.05,5.31,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Bali,0.61,2.81,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Banten,0.52,3.55,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Bengkulu,0.46,2.85,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,DI Yogyakarta,0.44,4.08,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,DKI Jakarta,0.51,3.37,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Gorontalo,0.26,2.6,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Indonesia,0.41,3.48,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Jambi,0.43,3.55,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Jawa Barat,0.54,3.6,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Jawa Tengah,0.62,3.54,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Jawa Timur,0.55,3.79,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Kalimantan Barat,0.3,2.89,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Kalimantan Selatan,0.53,4.83,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Kalimantan Tengah,0.46,3.86,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Kalimantan Timur,0.8,3.31,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Kalimantan Utara,0.52,3.12,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Kepulauan Bangka Belitung,0.4,1.87,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Kepulauan Riau,0.1,3.23,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Lampung,0.3,1.16,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Maluku,-0.49,3.4,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Maluku Utara,-0.03,2.56,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Nusa Tenggara Barat,0.68,4.09,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Nusa Tenggara Timur,0.19,2.4,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Papua,0.7,3.5,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Papua Barat,0.05,3.51,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Papua Barat Daya,0.64,4.09,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
2026-03-01,Papua Pegunungan,2.57,3.14,,BPS Inflation M-to-M City Table Aggregated to Province | BPS Inflation Y-on-Y Province Table
