climate_date,province_name,latitude,longitude,precipitation_mm,temperature_avg_c,temperature_max_c,temperature_min_c,relative_humidity_pct,wind_speed_mps,source,dry_day_flag,heavy_rain_flag,heat_stress_flag,climate_risk_score,climate_risk_label
2026-01-06,Jawa Tengah,-7.150975,110.1402594,0.95,26.05,29.31,23.07,82.16,2.21,NASA POWER Daily API,1,0,0,1,Medium
2026-01-06,Jawa Timur,-7.5360639,112.2384017,1.4,25.91,29.54,22.52,85.46,2.16,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Kalimantan Barat,-0.2787808,111.4752851,3.17,24.99,28.7,22.18,90.62,0.59,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Kalimantan Selatan,-3.0926415,115.2837585,12.37,25.92,29.37,23.01,88.19,1.07,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Kalimantan Tengah,-1.6814878,113.3823545,1.64,27.29,31.92,22.95,81.01,0.63,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Kalimantan Timur,0.5386586,116.419389,3.16,24.84,27.98,22.04,91.72,0.7,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Kalimantan Utara,3.0730929,116.0413889,33.97,23.15,25.53,21.31,92.65,0.48,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Kepulauan Bangka Belitung,-2.7410513,106.4405872,7.01,26.67,28.7,24.88,86.48,3.25,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Kepulauan Riau,3.9456514,108.1428669,18.52,26.61,27.06,26.16,90.16,6.54,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Lampung,-4.5585849,105.4068079,12.51,26.59,29.38,23.94,88.33,2.61,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Maluku,-3.2384616,130.1452734,12.59,26.22,27.11,25.39,87.4,4.83,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Maluku Utara,1.5709993,127.8087693,25.5,26.04,27.08,25.23,88.84,3.49,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Nusa Tenggara Barat,-8.6529334,117.3616476,4.22,26.94,30.88,24.23,83.68,1.54,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Nusa Tenggara Timur,-8.6573819,121.0793705,1.36,27.21,29.85,25.0,79.32,1.57,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Papua,-4.269928,138.0803529,45.55,23.49,25.08,22.14,94.38,1.66,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Papua Barat,-1.3361154,133.1747162,16.09,23.0,24.88,21.3,96.09,0.75,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Papua Barat Daya,-0.88272864,131.28662743,3.6,27.04,28.44,26.21,86.86,3.75,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Papua Pegunungan,-4.06450843,138.95770535,23.92,14.77,18.82,11.66,88.39,1.26,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Papua Selatan,-4.269928,138.0803529,45.55,23.49,25.08,22.14,94.38,1.66,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Papua Tengah,-4.269928,138.0803529,45.55,23.49,25.08,22.14,94.38,1.66,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Riau,0.2933469,101.7068294,32.15,25.07,27.84,23.08,92.83,0.9,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Sulawesi Barat,-2.8441371,119.2320784,21.92,19.96,22.9,18.18,93.1,0.75,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Sulawesi Selatan,-3.6687994,119.9740534,22.31,22.65,25.38,20.84,89.01,1.32,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Sulawesi Tengah,-1.4300254,121.4456179,11.81,20.66,22.99,19.2,92.22,0.87,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Sulawesi Tenggara,-4.14491,122.174605,3.28,24.11,26.38,22.39,92.58,0.69,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Sulawesi Utara,0.6246932,123.9750018,27.99,23.44,24.55,22.47,89.03,3.92,NASA POWER Daily API,0,0,0,0,Low
2026-01-06,Sumatera Barat,-0.7399397,100.8000051,0.19,23.57,27.15,20.51,87.21,1.63,NASA POWER Daily API,1,0,0,1,Medium
2026-01-06,Sumatera Selatan,-3.3194374,103.914399,0.65,25.79,29.13,22.96,88.77,1.97,NASA POWER Daily API,1,0,0,1,Medium
2026-01-06,Sumatera Utara,2.1153547,99.5450974,0.9,21.58,24.68,19.17,90.91,1.53,NASA POWER Daily API,1,0,0,1,Medium
2026-01-07,Aceh,4.695135,96.7493993,5.1,20.22,23.83,17.71,91.89,0.56,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Bali,-8.4095178,115.188916,19.14,25.46,27.56,23.97,88.21,2.68,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Banten,-6.4058172,106.0640179,1.54,25.81,28.51,23.85,86.23,1.93,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Bengkulu,-3.7928451,102.2607641,2.94,26.91,29.26,24.87,82.2,1.37,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,D.I Yogyakarta,-7.8753849,110.4262088,2.68,26.33,28.61,24.62,85.52,3.25,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,DKI Jakarta,-6.1944491,106.8229198,2.8,27.05,28.5,26.01,88.27,2.89,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Gorontalo,0.6999372,122.4467238,22.66,26.22,27.82,24.83,83.94,4.13,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Jambi,-1.6101229,103.6131203,1.59,25.78,28.32,23.88,92.96,1.39,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Jawa Barat,-7.090911,107.668887,1.18,21.74,25.05,19.25,89.85,2.56,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Jawa Tengah,-7.150975,110.1402594,0.66,26.03,28.33,24.55,84.29,2.87,NASA POWER Daily API,1,0,0,1,Medium
2026-01-07,Jawa Timur,-7.5360639,112.2384017,18.38,25.77,28.88,22.97,86.36,2.0,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Kalimantan Barat,-0.2787808,111.4752851,11.5,24.9,27.72,22.62,93.09,0.74,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Kalimantan Selatan,-3.0926415,115.2837585,5.14,25.84,28.6,23.39,90.92,1.05,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Kalimantan Tengah,-1.6814878,113.3823545,12.69,26.45,29.55,23.72,87.91,0.84,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Kalimantan Timur,0.5386586,116.419389,16.23,25.27,28.31,22.41,91.9,0.57,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Kalimantan Utara,3.0730929,116.0413889,10.5,22.58,24.64,21.05,94.6,0.56,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Kepulauan Bangka Belitung,-2.7410513,106.4405872,2.85,26.88,28.57,25.19,88.02,3.26,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Kepulauan Riau,3.9456514,108.1428669,14.69,26.45,26.85,26.08,87.41,9.52,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Lampung,-4.5585849,105.4068079,0.61,26.41,28.47,24.47,90.49,2.84,NASA POWER Daily API,1,0,0,1,Medium
2026-01-07,Maluku,-3.2384616,130.1452734,9.56,25.96,27.22,25.04,87.51,5.36,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Maluku Utara,1.5709993,127.8087693,12.28,26.4,27.16,25.63,88.23,4.73,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Nusa Tenggara Barat,-8.6529334,117.3616476,4.03,26.41,29.52,24.24,84.5,1.85,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Nusa Tenggara Timur,-8.6573819,121.0793705,2.42,26.3,28.15,25.15,84.46,2.04,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Papua,-4.269928,138.0803529,43.78,23.95,27.99,21.74,89.54,1.67,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Papua Barat,-1.3361154,133.1747162,4.21,23.65,27.62,20.51,92.53,0.7,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Papua Barat Daya,-0.88272864,131.28662743,2.84,27.49,29.28,26.28,83.33,4.5,NASA POWER Daily API,0,0,0,0,Low
2026-01-07,Papua Pegunungan,-4.06450843,138.95770535,42.79,13.28,16.25,10.54,89.41,2.29,NASA POWER Daily API,0,0,0,0,Low
