event,status,method,url,body_length,body_sample
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Minyak%20Goreng%20Kemasan%20Bermerk%202&_=1777668631225,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Minyak%20Goreng%20Kemasan%20Bermerk%202&forInfo=true&_=1777668631226,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Telur%20Ayam%20Ras%20Segar&_=1777668631227,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Telur%20Ayam%20Ras%20Segar&forInfo=true&_=1777668631228,,
request,,GET,https://www.bi.go.id/hargapangan/WebSite/Home/GetGridData1?tanggal=May%201%2C%202026&commodity=1&priceType=1&isPasokan=1&jenis=1&periode=1&provId=0&_=1777668631229,,
response,200.0,,https://www.bi.go.id/hargapangan/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0,,
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetCommoditiesTree?_=1777668631181,2829.0,"{""data"":[{""TreeID"":""1"",""TreeName"":""Beras"",""ParentID"":null,""HasCom"":1,""id_order"":1},{""TreeID"":""1_1"",""TreeName"":""Beras Kualitas Bawah I"",""ParentID"":""1"",""HasCom"":null,""id_order"":1},{""TreeID"":""1_2"",""TreeName"":""Beras Kualitas Bawah II"",""ParentID"":""1"",""HasCom"":null,""id_order"":1},{""TreeID"":""1_3"",""TreeName"":""Beras Kualitas Medium I"",""ParentID"":""1"",""HasCom"":null,""id_order"":1},{""TreeID"":""1_4"",""TreeName"":""Beras Kualitas Medium II"",""ParentID"":""1"",""HasCom"":null,""id_order"":1},{""TreeID"":""1_5"",""TreeName"":""Beras Kualitas Super I"",""ParentID"":""1"",""HasCom"":null,""id_order"":1},{""TreeID"":""1_6"",""TreeName"":""Beras Kualitas Super II"",""ParentID"":""1"",""HasCom"":null,""id_order"":1},{""TreeID"":""2"",""TreeName"":""Daging Ayam"",""ParentID"":null,""HasCom"":1,""id_order"":2},{""TreeID"":""2_7"",""TreeName"":""Daging Ayam Ras Segar"",""ParentID"":""2"",""HasCom"":null,""id_order"":2},{""TreeID"":""3"",""TreeName"":""Daging Sapi"",""ParentID"":null,""HasCom"":1,""id_order"":3},{""TreeID"":""3_8"",""TreeName"":""Daging Sapi Kualitas 1"",""ParentID"":""3"",""HasCom"":null,""id_ord"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetType?filter=%5B%22price_type_id%22%2C1%5D&_=1777668631182,68.0,"{""data"":[{""price_type_id"":1,""price_type_name"":""Pasar Tradisional""}]}"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetProvinceAll?filter=%5B%22province_id%22%2C0%5D&_=1777668631183,61.0,"{""data"":[{""province_id"":0,""province_name"":""Semua Provinsi""}]}"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetDummyMarkerForLegend?isPasokan=function()%20%7B%20return%20$(%22%23isPasokan%22).val();%20%7D,568.0,"[{""type"":""FeatureCollection"",""features"":[{""name"":""Jawa Barat"",""Kelompok"":""5"",""color"":""#1c8246"",""coordinates"":[0,0]},{""name"":""Jawa Tengah"",""Kelompok"":""4"",""color"":""#8cb938"",""coordinates"":[0,0]},{""name"":""Sumatera Barat"",""Kelompok"":""3"",""color"":""#27ae65"",""coordinates"":[0,0]},{""name"":""Jawa Timur"",""Kelompok"":""2"",""color"":""#c0392b"",""coordinates"":[0,0]},{""name"":""Sumatera Selatan"",""Kelompok"":""1"",""color"":""#7c1d15"",""coordinates"":[0,0]},{""name"":""Bali"",""Kelompok"":""6"",""color"":""#bbbbbb"",""coordinates"":[0,0]},{""name"":""Papua"",""Kelompok"":""7"",""color"":""#ffffff"",""coordinates"":[0,0]}]}]"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetHistogramData?tanggal=01%20Mei%202026&commodity=1&priceType=1&isPasokan=1&jenis=1&periode=1&provId=0&_=1777668631184,2.0,[]
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetProvinceAll?filter=%5B%22province_id%22%2C0%5D&_=1777668631185,61.0,"{""data"":[{""province_id"":0,""province_name"":""Semua Provinsi""}]}"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetType?filter=%5B%22price_type_id%22%2C1%5D&_=1777668631186,68.0,"{""data"":[{""price_type_id"":1,""price_type_name"":""Pasar Tradisional""}]}"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Bawang%20Merah%20Ukuran%20Sedang&_=1777668631187,1116.0,"{""data"":[{""date"":""2026-04-24T00:00:00"",""name"":""Bawang Merah Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":46100.00,""harga"":0.00,""fluc"":null,""isMin"":0,""isMax"":1,""isTetap"":0},{""date"":""2026-04-27T00:00:00"",""name"":""Bawang Merah Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":46000.00,""harga"":-100.00,""fluc"":-0.22,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-28T00:00:00"",""name"":""Bawang Merah Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":46000.00,""harga"":-100.00,""fluc"":-0.22,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-29T00:00:00"",""name"":""Bawang Merah Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":46050.00,""harga"":-50.00,""fluc"":-0.11,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-04-30T00:00:00"",""name"":""Bawang Merah Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":45700.00,""harga"":-400.00,""fluc"":-0.87,""isMin"":0,""isMax"":0,""isTetap"":0},{""date"":""2026-05-01T00:00:00"",""name"":""Bawang Merah Ukuran Sedang"",""deno"
response,200.0,,https://www.bi.go.id/hargapangan/WebSite/Home/GetChartData?skip=0&take=20&tempId=6f6ac9a3-9879-4485-a5b4-a6ff3156be82&comName=Bawang%20Merah%20Ukuran%20Sedang&forInfo=true&_=1777668631188,196.0,"{""data"":[{""date"":""2026-05-01T00:00:00"",""name"":""Bawang Merah Ukuran Sedang"",""denomination"":""kg"",""price_type_id"":1,""nominal"":45000.00,""harga"":-1100.00,""fluc"":-2.39,""isMin"":1,""isMax"":0,""isTetap"":0}]}"
